filename,profession,biased_bg
doctor_0.png,doctor,True
doctor_1.png,doctor,True
doctor_2.png,doctor,True
doctor_3.png,doctor,True
doctor_4.png,doctor,True
doctor_5.png,doctor,True
doctor_6.png,doctor,True
doctor_7.png,doctor,True
doctor_8.png,doctor,True
doctor_9.png,doctor,True
doctor_10.png,doctor,True
doctor_11.png,doctor,True
doctor_12.png,doctor,True
doctor_13.png,doctor,True
doctor_14.png,doctor,True
doctor_15.png,doctor,True
doctor_16.png,doctor,True
doctor_17.png,doctor,True
doctor_18.png,doctor,True
doctor_19.png,doctor,True
doctor_20.png,doctor,True
doctor_21.png,doctor,True
doctor_22.png,doctor,True
doctor_23.png,doctor,True
doctor_24.png,doctor,True
doctor_25.png,doctor,True
doctor_26.png,doctor,True
doctor_27.png,doctor,True
doctor_28.png,doctor,True
doctor_29.png,doctor,True
doctor_30.png,doctor,True
doctor_31.png,doctor,True
doctor_32.png,doctor,True
doctor_33.png,doctor,True
doctor_34.png,doctor,True
doctor_35.png,doctor,True
doctor_36.png,doctor,True
doctor_37.png,doctor,True
doctor_38.png,doctor,True
doctor_39.png,doctor,True
doctor_40.png,doctor,True
doctor_41.png,doctor,True
doctor_42.png,doctor,True
doctor_43.png,doctor,True
doctor_44.png,doctor,True
doctor_45.png,doctor,True
doctor_46.png,doctor,True
doctor_47.png,doctor,True
doctor_48.png,doctor,True
doctor_49.png,doctor,True
doctor_50.png,doctor,True
doctor_51.png,doctor,True
doctor_52.png,doctor,True
doctor_53.png,doctor,True
doctor_54.png,doctor,True
doctor_55.png,doctor,True
doctor_56.png,doctor,True
doctor_57.png,doctor,True
doctor_58.png,doctor,True
doctor_59.png,doctor,True
doctor_60.png,doctor,True
doctor_61.png,doctor,True
doctor_62.png,doctor,True
doctor_63.png,doctor,True
doctor_64.png,doctor,True
doctor_65.png,doctor,True
doctor_66.png,doctor,True
doctor_67.png,doctor,True
doctor_68.png,doctor,True
doctor_69.png,doctor,True
doctor_70.png,doctor,True
doctor_71.png,doctor,True
doctor_72.png,doctor,True
doctor_73.png,doctor,True
doctor_74.png,doctor,True
doctor_75.png,doctor,True
doctor_76.png,doctor,True
doctor_77.png,doctor,True
doctor_78.png,doctor,True
doctor_79.png,doctor,True
doctor_80.png,doctor,True
doctor_81.png,doctor,True
doctor_82.png,doctor,True
doctor_83.png,doctor,True
doctor_84.png,doctor,True
doctor_85.png,doctor,True
doctor_86.png,doctor,True
doctor_87.png,doctor,True
doctor_88.png,doctor,True
doctor_89.png,doctor,True
doctor_90.png,doctor,True
doctor_91.png,doctor,True
doctor_92.png,doctor,True
doctor_93.png,doctor,True
doctor_94.png,doctor,True
doctor_95.png,doctor,True
doctor_96.png,doctor,True
doctor_97.png,doctor,True
doctor_98.png,doctor,True
doctor_99.png,doctor,True
doctor_100.png,doctor,True
doctor_101.png,doctor,True
doctor_102.png,doctor,True
doctor_103.png,doctor,True
doctor_104.png,doctor,True
doctor_105.png,doctor,True
doctor_106.png,doctor,True
doctor_107.png,doctor,True
doctor_108.png,doctor,True
doctor_109.png,doctor,True
doctor_110.png,doctor,True
doctor_111.png,doctor,True
doctor_112.png,doctor,True
doctor_113.png,doctor,True
doctor_114.png,doctor,True
doctor_115.png,doctor,True
doctor_116.png,doctor,True
doctor_117.png,doctor,True
doctor_118.png,doctor,True
doctor_119.png,doctor,True
doctor_120.png,doctor,True
doctor_121.png,doctor,True
doctor_122.png,doctor,True
doctor_123.png,doctor,True
doctor_124.png,doctor,True
doctor_125.png,doctor,True
doctor_126.png,doctor,True
doctor_127.png,doctor,True
doctor_128.png,doctor,True
doctor_129.png,doctor,True
doctor_130.png,doctor,True
doctor_131.png,doctor,True
doctor_132.png,doctor,True
doctor_133.png,doctor,True
doctor_134.png,doctor,True
doctor_135.png,doctor,True
doctor_136.png,doctor,True
doctor_137.png,doctor,True
doctor_138.png,doctor,True
doctor_139.png,doctor,True
doctor_140.png,doctor,True
doctor_141.png,doctor,True
doctor_142.png,doctor,True
doctor_143.png,doctor,True
doctor_144.png,doctor,True
doctor_145.png,doctor,True
doctor_146.png,doctor,True
doctor_147.png,doctor,True
doctor_148.png,doctor,True
doctor_149.png,doctor,True
doctor_150.png,doctor,True
doctor_151.png,doctor,True
doctor_152.png,doctor,True
doctor_153.png,doctor,True
doctor_154.png,doctor,True
doctor_155.png,doctor,True
doctor_156.png,doctor,True
doctor_157.png,doctor,True
doctor_158.png,doctor,True
doctor_159.png,doctor,True
doctor_160.png,doctor,True
doctor_161.png,doctor,True
doctor_162.png,doctor,True
doctor_163.png,doctor,True
doctor_164.png,doctor,True
doctor_165.png,doctor,True
doctor_166.png,doctor,True
doctor_167.png,doctor,True
doctor_168.png,doctor,True
doctor_169.png,doctor,True
doctor_170.png,doctor,True
doctor_171.png,doctor,True
doctor_172.png,doctor,True
doctor_173.png,doctor,True
doctor_174.png,doctor,True
doctor_175.png,doctor,True
doctor_176.png,doctor,True
doctor_177.png,doctor,True
doctor_178.png,doctor,True
doctor_179.png,doctor,True
doctor_180.png,doctor,True
doctor_181.png,doctor,True
doctor_182.png,doctor,True
doctor_183.png,doctor,True
doctor_184.png,doctor,True
doctor_185.png,doctor,True
doctor_186.png,doctor,True
doctor_187.png,doctor,True
doctor_188.png,doctor,True
doctor_189.png,doctor,True
doctor_190.png,doctor,True
doctor_191.png,doctor,True
doctor_192.png,doctor,True
doctor_193.png,doctor,True
doctor_194.png,doctor,True
doctor_195.png,doctor,True
doctor_196.png,doctor,True
doctor_197.png,doctor,True
doctor_198.png,doctor,True
doctor_199.png,doctor,True
doctor_200.png,doctor,True
doctor_201.png,doctor,True
doctor_202.png,doctor,True
doctor_203.png,doctor,True
doctor_204.png,doctor,True
doctor_205.png,doctor,True
doctor_206.png,doctor,True
doctor_207.png,doctor,True
doctor_208.png,doctor,True
doctor_209.png,doctor,True
doctor_210.png,doctor,True
doctor_211.png,doctor,True
doctor_212.png,doctor,True
doctor_213.png,doctor,True
doctor_214.png,doctor,True
doctor_215.png,doctor,True
doctor_216.png,doctor,True
doctor_217.png,doctor,True
doctor_218.png,doctor,True
doctor_219.png,doctor,True
doctor_220.png,doctor,True
doctor_221.png,doctor,True
doctor_222.png,doctor,True
doctor_223.png,doctor,True
doctor_224.png,doctor,True
doctor_225.png,doctor,True
doctor_226.png,doctor,True
doctor_227.png,doctor,True
doctor_228.png,doctor,True
doctor_229.png,doctor,True
doctor_230.png,doctor,True
doctor_231.png,doctor,True
doctor_232.png,doctor,True
doctor_233.png,doctor,True
doctor_234.png,doctor,True
doctor_235.png,doctor,True
doctor_236.png,doctor,True
doctor_237.png,doctor,True
doctor_238.png,doctor,True
doctor_239.png,doctor,True
doctor_240.png,doctor,True
doctor_241.png,doctor,True
doctor_242.png,doctor,True
doctor_243.png,doctor,True
doctor_244.png,doctor,True
doctor_245.png,doctor,True
doctor_246.png,doctor,True
doctor_247.png,doctor,True
doctor_248.png,doctor,True
doctor_249.png,doctor,True
doctor_250.png,doctor,True
doctor_251.png,doctor,True
doctor_252.png,doctor,True
doctor_253.png,doctor,True
doctor_254.png,doctor,True
doctor_255.png,doctor,True
doctor_256.png,doctor,True
