cam_entropy,cam_mean,cam_std,cam_max,cam_sparsity,pred_conf,pred_class,filename,true_label
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_0.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_1.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_2.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_3.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_4.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_5.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_6.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_7.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_8.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_9.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_10.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_11.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_12.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_13.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_14.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_15.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_16.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_17.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_18.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_19.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_20.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_21.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_22.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_23.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_24.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_25.png,doctor
8.089003,0.00024414062,0.00013274816,0.00038152313,0.0947265625,1.0,0,doctor_26.png,doctor
